地方, 振興局, 地点番号, 観測所名, よみがな, ローマ字表記, 所在地, Latitude, Latitude_3, Longitude, Longitude_4, Start Year-Start Month-Start Day, End Year-End Month-End Day, Old Station Number, 実測開始日, 実測終了日, 特別警戒情報判定除外開始日, 特別警戒情報判定除外終了日
北海道, 上川, 12181, 名寄, なよろ, NAYORO, 名寄市大橋, 44, 22.2, 142, 27.4, 2010-05-01, 9999-99-99, 12181, , , , 
北海道, 上川, 12231, 下川, しもかわ, SHIMOKAWA, 上川郡下川町南町, 44, 17.7, 142, 38.2, 2010-05-01, 9999-99-99, 12231, , , , 
北海道, 上川, 12261, 士別, しべつ, SHIBETSU, 士別市武徳町, 44, 11.2, 142, 25.0, 2010-05-01, 9999-99-99, 12261, , , , 
北海道, 上川, 12266, 朝日, あさひ, ASAHI, 士別市朝日町中央, 44, 7.1, 142, 35.7, 2010-05-01, 9999-99-99, 12266, , , , 
北海道, 上川, 12301, 和寒, わっさむ, WASSAMU, 上川郡和寒町日ノ出, 44, 1.7, 142, 24.6, 2010-05-01, 9999-99-99, 12301, , , , 
北海道, 上川, 12386, 江丹別, えたんべつ, ETAMBETSU, 旭川市江丹別町芳野, 43, 52.2, 142, 15.6, 2010-05-01, 9999-99-99, 12386, , , , 
北海道, 上川, 12396, 比布, ぴっぷ, PIPPU, 上川郡比布町北2線, 43, 52.2, 142, 28.2, 2010-05-01, 9999-99-99, 12396, , , , 
北海道, 上川, 12411, 上川, かみかわ, KAMIKAWA, 上川郡上川町栄町, 43, 50.8, 142, 45.2, 2010-05-01, 9999-99-99, 12411, , , , 
北海道, 上川, 12442, 旭川, あさひかわ, ASAHIKAWA, 旭川市宮前1条　旭川地方気象台, 43, 45.4, 142, 22.3, 2010-05-01, 9999-99-99, 12442, , , , 
北海道, 上川, 12451, 東川, ひがしかわ, HIGASHIKAWA, 上川郡東川町北町, 43, 42.1, 142, 30.5, 2010-05-01, 9999-99-99, 12451, , , , 
北海道, 上川, 12512, 志比内, しびない, SHIBINAI, 上川郡東神楽町志比内, 43, 38.6, 142, 34.9, 2010-05-01, 9999-99-99, 12512, , , , 
北海道, 上川, 12551, 美瑛, びえい, BIEI, 上川郡美瑛町原野5線, 43, 35.3, 142, 29.6, 2010-05-01, 9999-99-99, 12551, , , , 
北海道, 上川, 12596, 上富良野, かみふらの, KAMIFURANO, 空知郡上富良野町大町, 43, 27.3, 142, 27.9, 2010-05-01, 9999-99-99, 12596, , , , 
北海道, 上川, 12626, 富良野, ふらの, FURANO, 富良野市東町, 43, 20.0, 142, 24.0, 2010-05-01, 9999-99-99, 12626, , , , 
北海道, 上川, 12632, 麓郷, ろくごう, ROKUGO, 富良野市麓郷市街地, 43, 18.1, 142, 31.3, 2010-05-01, 9999-99-99, 12632, , , , 
北海道, 上川, 12691, 幾寅, いくとら, IKUTORA, 空知郡南富良野町幾寅, 43, 10.1, 142, 34.1, 2010-05-01, 9999-99-99, 12691, , , , 
北海道, 上川, 12746, 占冠, しむかっぷ, SHIMUKAPPU, 勇払郡占冠村中央, 42, 58.7, 142, 23.7, 2010-05-01, 9999-99-99, 12746, , , , 
北海道, 留萌, 13061, 天塩, てしお, TESHIO, 天塩郡天塩町川口, 44, 53.6, 141, 45.7, 2010-05-01, 9999-99-99, 13061, , , , 
北海道, 留萌, 13086, 遠別, えんべつ, EMBETSU, 天塩郡遠別町幸和, 44, 43.1, 141, 48.4, 2010-05-01, 9999-99-99, 13086, , , , 
北海道, 留萌, 13121, 初山別, しょさんべつ, SHOSAMBETSU, 苫前郡初山別村初山別, 44, 31.4, 141, 46.2, 2010-05-01, 9999-99-99, 13121, , , , 
北海道, 留萌, 13146, 焼尻, やぎしり, YAGISHIRI, 苫前郡羽幌町焼尻白浜, 44, 25.7, 141, 25.3, 2010-05-01, 9999-99-99, 13146, , , , 
北海道, 留萌, 13181, 羽幌, はぼろ, HABORO, 苫前郡羽幌町南3条　羽幌特別地域気象観測所, 44, 21.8, 141, 42.0, 2010-05-01, 9999-99-99, 13181, , , , 
北海道, 留萌, 13261, 達布, たっぷ, TAPPU, 留萌郡小平町達布, 44, 2.9, 141, 51.4, 2010-05-01, 9999-99-99, 13261, , , , 
北海道, 留萌, 13277, 留萌, るもい, RUMOI, 留萌市大町　留萌特別地域気象観測所, 43, 56.7, 141, 37.9, 2010-05-01, 9999-99-99, 13277, , , , 
北海道, 留萌, 13311, 増毛, ましけ, MASHIKE, 増毛郡増毛町別苅, 43, 50.9, 141, 30.6, 2010-05-01, 9999-99-99, 13311, , , , 
北海道, 留萌, 13321, 幌糠, ほろぬか, HORONUKA, 留萌市幌糠町, 43, 51.2, 141, 45.6, 2010-05-01, 9999-99-99, 13321, , , , 
北海道, 石狩, 14026, 浜益, はまます, HAMAMASU, 石狩市浜益区川下, 43, 34.9, 141, 23.2, 2010-05-01, 9999-99-99, 14026, , , , 
北海道, 石狩, 14071, 厚田, あつた, ATSUTA, 石狩市厚田区別狩, 43, 23.8, 141, 26.2, 2010-05-01, 9999-99-99, 14071, , , , 
北海道, 石狩, 14101, 新篠津, しんしのつ, SHINSHINOTSU, 石狩郡新篠津村第46線北, 43, 13.2, 141, 38.7, 2010-05-01, 9999-99-99, 14101, , , , 
北海道, 石狩, 14116, 山口, やまぐち, YAMAGUCHI, 札幌市手稲区手稲山口, 43, 8.9, 141, 13.3, 2010-05-01, 9999-99-99, 14116, , , , 
北海道, 石狩, 14121, 石狩, いしかり, ISHIKARI, 石狩市生振, 43, 11.6, 141, 22.2, 2010-05-01, 9999-99-99, 14121, , , , 
北海道, 石狩, 14136, 江別, えべつ, EBETSU, 江別市江別太, 43, 6.6, 141, 36.1, 2010-05-01, 9999-99-99, 14136, , , , 
北海道, 石狩, 14163, 札幌, さっぽろ, SAPPORO, 札幌市中央区北2条西　札幌管区気象台, 43, 3.6, 141, 19.7, 2010-05-01, 9999-99-99, 14163, 2014-04-01, 9999-99-99, , 
北海道, 石狩, 14206, 恵庭島松, えにわしままつ, ENIWASHIMAMATSU, 恵庭市下島松, 42, 55.6, 141, 33.9, 2010-05-01, 9999-99-99, 14206, , , , 
北海道, 石狩, 14286, 支笏湖畔, しこつこはん, SHIKOTSUKOHAN, 千歳市支笏湖温泉番外地, 42, 46.3, 141, 24.4, 2010-05-01, 9999-99-99, 14286, , , , 
北海道, 上川, 15041, 朱鞠内, しゅまりない, SHUMARINAI, 雨竜郡幌加内町朱鞠内, 44, 16.9, 142, 9.7, 2010-05-01, 9999-99-99, 15041, , , , 
北海道, 上川, 15076, 幌加内, ほろかない, HOROKANAI, 雨竜郡幌加内町幌加内, 44, 0.6, 142, 9.6, 2010-05-01, 9999-99-99, 15076, , , , 
北海道, 空知, 15116, 石狩沼田, いしかりぬまた, ISHIKARINUMATA, 雨竜郡沼田町緑町, 43, 48.9, 141, 55.6, 2010-05-01, 9999-99-99, 15116, , , , 
北海道, 空知, 15156, 秩父別, ちっぷべつ, CHIPPUBETSU, 雨竜郡秩父別町５条, 43, 46.8, 141, 57.7, 2022-10-31, 9999-99-99, 15156, , , , 
北海道, 空知, 15161, 深川, ふかがわ, FUKAGAWA, 深川市一已町一已, 43, 43.1, 142, 4.4, 2010-05-01, 9999-99-99, 15161, , , , 
北海道, 空知, 15231, 空知吉野, そらちよしの, SORACHIYOSHINO, 樺戸郡新十津川町吉野, 43, 35.7, 141, 43.9, 2010-05-01, 9999-99-99, 15231, , , , 
北海道, 空知, 15241, 滝川, たきかわ, TAKIKAWA, 滝川市南滝の川, 43, 34.2, 141, 56.3, 2010-05-01, 9999-99-99, 15241, , , , 
北海道, 空知, 15251, 芦別, あしべつ, ASHIBETSU, 芦別市北2条東, 43, 31.2, 142, 11.4, 2010-05-01, 9999-99-99, 15251, , , , 
北海道, 空知, 15311, 月形, つきがた, TSUKIGATA, 樺戸郡月形町知来乙, 43, 19.8, 141, 37.0, 2010-05-01, 9999-99-99, 15311, , , , 
北海道, 空知, 15321, 美唄, びばい, BIBAI, 美唄市北美唄町二区, 43, 21.8, 141, 49.6, 2010-05-01, 9999-99-99, 15321, , , , 
北海道, 空知, 15356, 岩見沢, いわみざわ, IWAMIZAWA, 岩見沢市5条東　岩見沢特別地域気象観測所, 43, 12.7, 141, 47.1, 2010-05-01, 9999-99-99, 15356, , , , 
北海道, 空知, 15431, 長沼, ながぬま, NAGANUMA, 夕張郡長沼町本町北, 43, 0.7, 141, 41.6, 2010-05-01, 9999-99-99, 15431, , , , 
北海道, 空知, 15442, 夕張, ゆうばり, YUBARI, 夕張市鹿の谷山手町, 43, 2.3, 141, 57.4, 2010-05-01, 9999-99-99, 15442, , , , 
北海道, 後志, 16026, 美国, びくに, BIKUNI, 積丹郡積丹町美国町船澗, 43, 16.3, 140, 33.8, 2010-05-01, 9999-99-99, 16026, , , , 
北海道, 後志, 16061, 神恵内, かもえない, KAMOENAI, 古宇郡神恵内村神恵内村, 43, 8.7, 140, 25.4, 2010-05-01, 9999-99-99, 16061, , , , 
北海道, 後志, 16076, 余市, よいち, YOICHI, 余市郡余市町豊丘町, 43, 10.9, 140, 45.5, 2010-05-01, 9999-99-99, 16076, , , , 
北海道, 後志, 16091, 小樽, おたる, OTARU, 小樽市勝納町　小樽特別地域気象観測所, 43, 10.9, 141, 0.9, 2010-05-01, 9999-99-99, 16091, , , , 
北海道, 後志, 16156, 共和, きょうわ, KYOWA, 岩内郡共和町南幌似, 42, 58.8, 140, 36.2, 2010-05-01, 9999-99-99, 16156, , , , 
北海道, 後志, 16206, 蘭越, らんこし, RANKOSHI, 磯谷郡蘭越町蘭越町, 42, 48.6, 140, 32.5, 2010-05-01, 9999-99-99, 16206, , , , 
北海道, 後志, 16217, 倶知安, くっちゃん, KUTCHAN, 虻田郡倶知安町南1条東　倶知安特別地域気象観測所, 42, 54.0, 140, 45.4, 2010-05-01, 9999-99-99, 16217, , , , 
北海道, 後志, 16252, 寿都, すっつ, SUTTSU, 寿都郡寿都町新栄町　寿都特別地域気象観測所, 42, 47.7, 140, 13.4, 2010-05-01, 9999-99-99, 16252, , , , 
北海道, 後志, 16281, 真狩, まっかり, MAKKARI, 虻田郡真狩村美原, 42, 46.5, 140, 52.8, 2010-05-01, 9999-99-99, 16281, , , , 
北海道, 後志, 16286, 喜茂別, きもべつ, KIMOBETSU, 虻田郡喜茂別町伏見, 42, 47.6, 140, 56.9, 2010-05-01, 9999-99-99, 16286, , , , 
北海道, 後志, 16321, 黒松内, くろまつない, KUROMATSUNAI, 寿都郡黒松内町黒松内, 42, 39.8, 140, 18.6, 2010-05-01, 9999-99-99, 16321, , , , 
北海道, ｵﾎｰﾂｸ, 17036, 雄武, おうむ, OMU, 紋別郡雄武町雄武　雄武特別地域気象観測所, 44, 34.8, 142, 57.8, 2010-05-01, 9999-99-99, 17036, , , , 
北海道, ｵﾎｰﾂｸ, 17076, 興部, おこっぺ, OKOPPE, 紋別郡興部町興部, 44, 28.2, 143, 6.5, 2010-05-01, 9999-99-99, 17076, , , , 
北海道, ｵﾎｰﾂｸ, 17091, 西興部, にしおこっぺ, NISHI-OKOPPE, 紋別郡西興部村西興部, 44, 19.9, 142, 56.1, 2010-05-01, 9999-99-99, 17091, , , , 
北海道, ｵﾎｰﾂｸ, 17112, 紋別, もんべつ, MOMBETSU, 紋別市南が丘町　紋別特別地域気象観測所, 44, 20.7, 143, 21.3, 2010-05-01, 9999-99-99, 17112, , , , 
北海道, ｵﾎｰﾂｸ, 17166, 湧別, ゆうべつ, YUBETSU, 紋別郡湧別町東, 44, 12.8, 143, 37.1, 2010-05-01, 9999-99-99, 17166, , , , 
北海道, ｵﾎｰﾂｸ, 17196, 滝上, たきのうえ, TAKINOUE, 紋別郡滝上町滝ノ上原野5線南, 44, 10.6, 143, 3.7, 2010-05-01, 9999-99-99, 17196, , , , 
北海道, ｵﾎｰﾂｸ, 17246, 常呂, ところ, TOKORO, 北見市常呂町岐阜, 44, 6.9, 144, 2.2, 2010-05-01, 9999-99-99, 17246, , , , 
北海道, ｵﾎｰﾂｸ, 17306, 遠軽, えんがる, ENGARU, 紋別郡遠軽町東町, 44, 3.2, 143, 32.4, 2010-05-01, 9999-99-99, 17306, , , , 
北海道, ｵﾎｰﾂｸ, 17316, 佐呂間, さろま, SAROMA, 常呂郡佐呂間町西富, 44, 1.1, 143, 45.6, 2010-05-01, 9999-99-99, 17316, , , , 
北海道, ｵﾎｰﾂｸ, 17341, 網走, あばしり, ABASHIRI, 網走市台町　網走地方気象台, 44, 1.0, 144, 16.7, 2010-05-01, 9999-99-99, 17341, , , , 
北海道, ｵﾎｰﾂｸ, 17351, 宇登呂, うとろ, UTORO, 斜里郡斜里町ウトロ高原, 44, 3.1, 144, 58.9, 2010-05-01, 9999-99-99, 17351, , , , 
北海道, ｵﾎｰﾂｸ, 17482, 白滝, しらたき, SHIRATAKI, 紋別郡遠軽町白滝北支湧別, 43, 51.9, 143, 9.2, 2010-05-01, 9999-99-99, 17482, , , , 
北海道, ｵﾎｰﾂｸ, 17501, 生田原, いくたはら, IKUTAHARA, 紋別郡遠軽町生田原, 43, 55.0, 143, 31.9, 2010-05-01, 9999-99-99, 17501, , , , 
北海道, ｵﾎｰﾂｸ, 17521, 北見, きたみ, KITAMI, 北見市広郷, 43, 46.6, 143, 50.5, 2010-05-01, 9999-99-99, 17521, , , , 
北海道, ｵﾎｰﾂｸ, 17546, 小清水, こしみず, KOSHIMIZU, 斜里郡小清水町泉, 43, 50.5, 144, 29.1, 2010-05-01, 9999-99-99, 17546, , , , 
北海道, ｵﾎｰﾂｸ, 17561, 斜里, しゃり, SHARI, 斜里郡斜里町以久科南, 43, 53.1, 144, 42.0, 2010-05-01, 9999-99-99, 17561, , , , 
北海道, ｵﾎｰﾂｸ, 17596, 留辺蘂, るべしべ, RUBESHIBE, 北見市留辺蘂町大和, 43, 44.5, 143, 27.0, 2010-05-01, 9999-99-99, 17596, , , , 
北海道, ｵﾎｰﾂｸ, 17607, 境野, さかいの, SAKAINO, 常呂郡置戸町豊住, 43, 42.4, 143, 38.6, 2010-05-01, 9999-99-99, 17607, , , , 
北海道, ｵﾎｰﾂｸ, 17631, 美幌, びほろ, BIHORO, 網走郡美幌町福住, 43, 46.2, 144, 10.3, 2010-05-01, 9999-99-99, 17631, , , , 
北海道, ｵﾎｰﾂｸ, 17717, 津別, つべつ, TSUBETSU, 網走郡津別町豊永, 43, 42.1, 144, 2.0, 2010-05-01, 9999-99-99, 17717, , , , 
北海道, 根室, 18038, 羅臼, らうす, RAUSU, 目梨郡羅臼町栄町, 44, 1.4, 145, 11.2, 2010-05-01, 9999-99-99, 18038, , , , 
北海道, 根室, 18136, 標津, しべつ, SHIBETSU, 標津郡標津町北2条西, 43, 39.7, 145, 7.9, 2010-05-01, 9999-99-99, 18136, , , , 
北海道, 根室, 18161, 上標津, かみしべつ, KAMISHIBETSU, 標津郡中標津町上標津, 43, 31.2, 144, 44.8, 2010-05-01, 9999-99-99, 18161, , , , 
北海道, 根室, 18171, 中標津, なかしべつ, NAKASHIBETSU, 標津郡中標津町桜ヶ丘, 43, 32.6, 144, 58.7, 2010-05-01, 9999-99-99, 18171, , , , 
北海道, 根室, 18256, 別海, べつかい, BETSUKAI, 野付郡別海町川上町, 43, 22.9, 145, 7.1, 2010-05-01, 9999-99-99, 18256, , , , 
北海道, 根室, 18273, 根室, ねむろ, NEMURO, 根室市弥栄町　根室特別地域気象観測所, 43, 19.8, 145, 35.1, 2010-05-01, 9999-99-99, 18273, , , , 
北海道, 根室, 18281, 納沙布, のさっぷ, NOSAPPU, 根室市温根元, 43, 23.6, 145, 45.5, 2010-05-01, 9999-99-99, 18281, , , , 
北海道, 根室, 18311, 厚床, あっとこ, ATTOKO, 根室市西厚床, 43, 13.2, 145, 13.6, 2010-05-01, 9999-99-99, 18311, , , , 
北海道, 釧路, 19021, 川湯, かわゆ, KAWAYU, 川上郡弟子屈町川湯駅前, 43, 37.0, 144, 27.4, 2010-05-01, 9999-99-99, 19021, , , , 
北海道, 釧路, 19051, 弟子屈, てしかが, TESHIKAGA, 川上郡弟子屈町弟子屈原野, 43, 30.6, 144, 28.0, 2010-05-01, 9999-99-99, 19051, , , , 
北海道, 釧路, 19076, 阿寒湖畔, あかんこはん, AKANKOHAN, 釧路市阿寒町阿寒湖温泉, 43, 26.2, 144, 5.0, 2010-05-01, 9999-99-99, 19076, , , , 
北海道, 釧路, 19151, 標茶, しべちゃ, SHIBECHA, 川上郡標茶町開運, 43, 17.5, 144, 35.2, 2010-05-01, 9999-99-99, 19151, , , , 
北海道, 釧路, 19191, 鶴居, つるい, TSURUI, 阿寒郡鶴居村鶴居東, 43, 13.9, 144, 19.5, 2010-05-01, 9999-99-99, 19191, , , , 
北海道, 釧路, 19261, 中徹別, なかてしべつ, NAKATESHIBETSU, 釧路市阿寒町徹別中央34線, 43, 11.9, 144, 8.5, 2010-05-01, 9999-99-99, 19261, , , , 
北海道, 釧路, 19311, 榊町, さかきまち, SAKAKIMACHI, 厚岸郡浜中町榊町, 43, 7.2, 145, 6.6, 2010-05-01, 9999-99-99, 19311, , , , 
北海道, 釧路, 19376, 太田, おおた, OTA, 厚岸郡厚岸町太田, 43, 5.4, 144, 46.7, 2010-05-01, 9999-99-99, 19376, , , , 
北海道, 釧路, 19416, 白糠, しらぬか, SHIRANUKA, 白糠郡白糠町西2条北, 42, 58.2, 144, 3.7, 2010-05-01, 9999-99-99, 19416, , , , 
北海道, 釧路, 19432, 釧路, くしろ, KUSHIRO, 釧路市幸町　釧路地方気象台, 42, 59.1, 144, 22.6, 2010-05-01, 9999-99-99, 19432, , , , 
北海道, 釧路, 19451, 知方学, ちっぽまない, CHIPPOMANAI, 釧路郡釧路町仙鳳趾村知方学, 42, 56.3, 144, 44.1, 2010-05-01, 9999-99-99, 19451, , , , 
北海道, 十勝, 20146, 陸別, りくべつ, RIKUBETSU, 足寄郡陸別町陸別原野基線, 43, 28.3, 143, 45.2, 2010-05-01, 9999-99-99, 20146, , , , 
北海道, 十勝, 20186, ぬかびら源泉郷, ぬかびらげんせんきょう, NUKABIRA-GENSENKYO, 河東郡上士幌町ぬかびら源泉郷北区, 43, 22.0, 143, 11.5, 2010-05-01, 9999-99-99, 20186, , , , 
北海道, 十勝, 20266, 上士幌, かみしほろ, KAMISHIHORO, 河東郡上士幌町東3線, 43, 14.5, 143, 17.7, 2010-05-01, 9999-99-99, 20266, , , , 
北海道, 十勝, 20276, 足寄, あしょろ, ASHORO, 足寄郡足寄町南1条, 43, 14.6, 143, 33.2, 2010-05-01, 9999-99-99, 20276, , , , 
北海道, 十勝, 20341, 本別, ほんべつ, HOMBETSU, 中川郡本別町新町, 43, 7.9, 143, 36.0, 2010-05-01, 9999-99-99, 20341, , , , 
北海道, 十勝, 20356, 新得, しんとく, SHINTOKU, 上川郡新得町4条南, 43, 4.6, 142, 50.4, 2010-05-01, 9999-99-99, 20356, , , , 
北海道, 十勝, 20361, 鹿追, しかおい, SHIKAOI, 河東郡鹿追町緑町, 43, 6.2, 142, 59.7, 2010-05-01, 9999-99-99, 20361, , , , 
北海道, 十勝, 20371, 駒場, こまば, KOMABA, 河東郡音更町駒場北町, 43, 3.0, 143, 11.0, 2010-05-01, 9999-99-99, 20371, , , , 
北海道, 十勝, 20421, 芽室, めむろ, MEMURO, 河西郡芽室町西3条南, 42, 54.0, 143, 2.6, 2010-05-01, 9999-99-99, 20421, , , , 
北海道, 十勝, 20432, 帯広, おびひろ, OBIHIRO, 帯広市東4条南　帯広測候所, 42, 55.3, 143, 12.7, 2010-05-01, 9999-99-99, 20432, , , , 
北海道, 十勝, 20441, 池田, いけだ, IKEDA, 中川郡池田町清見, 42, 55.2, 143, 27.5, 2010-05-01, 9999-99-99, 20441, , , , 
北海道, 十勝, 20506, 浦幌, うらほろ, URAHORO, 十勝郡浦幌町桜町, 42, 48.5, 143, 39.4, 2010-05-01, 9999-99-99, 20506, , , , 
北海道, 十勝, 20556, 糠内, ぬかない, NUKANAI, 中川郡幕別町五位, 42, 47.2, 143, 19.7, 2010-05-01, 9999-99-99, 20556, , , , 
北海道, 十勝, 20601, 上札内, かみさつない, KAMISATSUNAI, 河西郡中札内村元札内西1線, 42, 38.5, 143, 5.8, 2010-05-01, 9999-99-99, 20601, , , , 
北海道, 十勝, 20606, 更別, さらべつ, SARABETSU, 河西郡更別村更別南2線, 42, 39.1, 143, 11.7, 2010-05-01, 9999-99-99, 20606, , , , 
北海道, 十勝, 20631, 大津, おおつ, OTSU, 中川郡豊頃町大津寿町, 42, 41.2, 143, 38.8, 2010-05-01, 9999-99-99, 20631, , , , 
北海道, 十勝, 20696, 大樹, たいき, TAIKI, 広尾郡大樹町柏木町, 42, 30.0, 143, 16.4, 2010-05-01, 9999-99-99, 20696, , , , 
北海道, 十勝, 20751, 広尾, ひろお, HIRO-O, 広尾郡広尾町並木通東　広尾特別地域気象観測所, 42, 17.6, 143, 19.0, 2010-05-01, 9999-99-99, 20751, , , , 
北海道, 胆振, 21111, 厚真, あつま, ATSUMA, 勇払郡厚真町朝日, 42, 43.8, 141, 53.3, 2010-05-01, 9999-99-99, 21111, , , , 
北海道, 胆振, 21126, 穂別, ほべつ, HOBETSU, 勇払郡むかわ町穂別, 42, 45.7, 142, 8.6, 2010-05-01, 9999-99-99, 21126, , , , 
北海道, 胆振, 21161, 大滝, おおたき, OTAKI, 伊達市大滝区本町, 42, 40.2, 141, 4.7, 2010-05-01, 9999-99-99, 21161, , , , 
北海道, 胆振, 21171, 森野, もりの, MORINO, 白老郡白老町森野, 42, 37.8, 141, 14.8, 2010-05-01, 9999-99-99, 21171, , , , 
北海道, 胆振, 21187, 苫小牧, とまこまい, TOMAKOMAI, 苫小牧市しらかば町　苫小牧特別地域気象観測所, 42, 37.4, 141, 32.8, 2010-05-01, 9999-99-99, 21187, , , , 
北海道, 胆振, 21226, 大岸, おおきし, OKISHI, 虻田郡豊浦町大岸, 42, 35.4, 140, 38.6, 2010-05-01, 9999-99-99, 21226, , , , 
北海道, 胆振, 21261, 白老, しらおい, SHIRAOI, 白老郡白老町高砂町, 42, 32.6, 141, 21.1, 2010-05-01, 9999-99-99, 21261, , , , 
北海道, 胆振, 21276, 鵡川, むかわ, MUKAWA, 勇払郡むかわ町豊城, 42, 35.4, 141, 56.0, 2010-05-01, 9999-99-99, 21276, , , , 
北海道, 胆振, 21297, 伊達, だて, DATE, 伊達市館山下町, 42, 28.5, 140, 50.9, 2010-05-01, 9999-99-99, 21297, , , , 
北海道, 胆振, 21312, 登別, のぼりべつ, NOBORIBETSU, 登別市札内町, 42, 27.5, 141, 7.1, 2010-05-01, 9999-99-99, 21312, , , , 
北海道, 胆振, 21323, 室蘭, むろらん, MURORAN, 室蘭市山手町　室蘭地方気象台, 42, 18.7, 140, 58.5, 2010-05-01, 9999-99-99, 21323, , , , 
北海道, 日高, 22036, 日高, ひだか, HIDAKA, 沙流郡日高町本町東, 42, 52.6, 142, 26.5, 2010-05-01, 9999-99-99, 22036, , , , 
北海道, 日高, 22141, 日高門別, ひだかもんべつ, HIDAKA-MOMBETSU, 沙流郡日高町富浜, 42, 29.8, 142, 3.2, 2010-05-01, 9999-99-99, 22141, , , , 
北海道, 日高, 22156, 新和, しんわ, SHINWA, 新冠郡新冠町新和, 42, 32.6, 142, 20.0, 2010-05-01, 9999-99-99, 22156, , , , 
北海道, 日高, 22241, 静内, しずない, SHIZUNAI, 日高郡新ひだか町静内山手町, 42, 20.6, 142, 21.7, 2010-05-01, 9999-99-99, 22241, , , , 
北海道, 日高, 22291, 三石, みついし, MITSUISHI, 日高郡新ひだか町三石美野和, 42, 14.7, 142, 39.7, 2010-05-01, 9999-99-99, 22291, , , , 
北海道, 日高, 22306, 中杵臼, なかきねうす, NAKAKINEUSU, 浦河郡浦河町上杵臼, 42, 13.4, 142, 56.9, 2010-05-01, 9999-99-99, 22306, , , , 
北海道, 日高, 22327, 浦河, うらかわ, URAKAWA, 浦河郡浦河町潮見町　浦河特別地域気象観測所, 42, 9.7, 142, 46.6, 2010-05-01, 9999-99-99, 22327, , , , 
北海道, 日高, 22391, えりも岬, えりもみさき, ERIMOMISAKI, 幌泉郡えりも町東洋, 41, 55.5, 143, 14.6, 2010-05-01, 9999-99-99, 22391, , , , 
北海道, 渡島, 23031, 長万部, おしゃまんべ, OSHAMAMBE, 山越郡長万部町字長万部, 42, 31.0, 140, 22.4, 2010-05-01, 9999-99-99, 23031, , , , 
北海道, 渡島, 23086, 八雲, やくも, YAKUMO, 二海郡八雲町本町, 42, 15.1, 140, 16.3, 2010-05-01, 9999-99-99, 23086, , , , 
北海道, 渡島, 23166, 森, もり, MORI, 茅部郡森町姫川, 42, 4.0, 140, 35.3, 2010-05-01, 9999-99-99, 23166, , , , 
